model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,test.fr-en.fr.out.postproc,52.813263129186936,67.98139354705685,86.54196649819671,79.5509712774314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.mmtc.out.postproc,49.9430438117766,65.6050062097068,82.79688923147494,76.53310578129813,300.0,0.4,798.0,38.663434750983214,50.0343137792839,11.370879028300694,0.9592669637375837,9.320308948411078,13.251556004696315,11.394380305311891,300.0,0.0,0.0,205.3123994492524,1e-323,0.0,1.0,0.0,True,300.0,0.4,798.0,77.0813536061629,82.83200111097611,5.750647504813192,0.7149848310618543,4.301958252351382,7.097733476500317,5.753155159098766,300.0,0.0,0.0,139.3094401731993,5.457748106996621e-274,0.0,1.0,0.0,True,300.0,0.4,798.0,76.14884211384413,76.55675926355143,0.40791714970728865,0.567549783383694,-0.8220980574089792,1.4035584565653558,0.4329637962773969,229.0,71.0,0.0,12.448832670843426,6.041975817387289e-29,0.47333333333333333,0.7633333333333333,0.23666666666666666,False
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.default.out.postproc,38.67602325641639,55.68003901952181,77.07911266950902,76.14086483099418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.rocsmt.out.postproc,46.182625442998685,62.60523374512399,81.33131192776865,76.95748960834466,300.0,0.4,798.0,38.663434750983214,46.264248481165374,7.6008137301821685,0.9124240660234975,6.041893870092343,9.627262588181791,7.604266824015372,300.0,0.0,0.0,144.2859307396173,1.7612518132343705e-278,0.0,1.0,0.0,True,300.0,0.4,798.0,77.0813536061629,81.34571763357722,4.264364027414306,0.5846275382068467,3.1750646903924213,5.335739934933667,4.304328613113939,300.0,0.0,0.0,126.33847492208534,1.6459933094793685e-261,0.0,1.0,0.0,True,300.0,0.4,798.0,76.14884211384413,76.97061844076728,0.8217763269231437,0.4438767219399868,-0.08470432874851436,1.687222682126336,0.8262107937706487,291.0,9.0,0.0,32.06652388679798,8.90375857879533e-99,0.06,0.97,0.03,False
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.footweets.out.postproc,50.71703614698963,66.48839269818836,84.11435712136344,77.81786067422502,300.0,0.4,798.0,38.663434750983214,50.770242881437646,12.106808130454434,0.9643199759737711,10.245827723786684,13.960603967309996,12.162316183839675,300.0,0.0,0.0,217.4548627208508,0.0,0.0,1.0,0.0,True,300.0,0.4,798.0,77.0813536061629,84.13669894553516,7.055345339372243,0.6421717822258186,5.771953490630426,8.238266966023245,7.095445128610561,300.0,0.0,0.0,190.29513489958654,4.9611969086e-314,0.0,1.0,0.0,True,300.0,0.4,798.0,76.14884211384413,77.83466015500932,1.685818041165172,0.4674943129830373,0.6085721039234238,2.519379350867932,1.7300788023716818,300.0,0.0,0.0,62.45899508343893,1.3025425684485747e-173,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.pfsmb.out.postproc,49.313601175174576,65.11031225016637,83.45715905388515,77.22363506923458,300.0,0.4,798.0,38.663434750983214,49.395429524094155,10.73199477311094,1.0052975459097533,8.762572236977707,12.702262985518955,10.767545105020503,300.0,0.0,0.0,184.90406436603868,2.48959605477475e-310,0.0,1.0,0.0,True,300.0,0.4,798.0,77.0813536061629,83.47626752943522,6.394913923272314,0.670682903379981,5.1143945912296,7.551856120502139,6.350212368675345,300.0,0.0,0.0,165.14981624426304,8.423395732386186e-296,0.0,1.0,0.0,True,300.0,0.4,798.0,76.14884211384413,77.22552470398527,1.0766825901411328,0.5115920768172347,-0.025217690619463433,2.0109979500223822,1.087547407338496,291.0,9.0,0.0,36.452264103681976,4.86709152208105e-112,0.06,0.97,0.03,False
google/gemma-2-9b-it,test.fr-en.fr.mmtc.out.postproc,56.57831895677317,70.04044117696073,86.5764024352024,80.47460252213813,300.0,0.4,798.0,40.464400565423155,56.57832060622524,16.113920040802086,0.9075693082797259,14.46397486935841,17.808586418749655,16.023780490393325,300.0,0.0,0.0,307.52613563667654,0.0,0.0,1.0,0.0,True,300.0,0.4,798.0,77.76583621178503,86.5832085725832,8.817372360798151,0.43863170797679496,8.008078598232943,9.60392419351522,8.805238737498316,300.0,0.0,0.0,348.176765163632,0.0,0.0,1.0,0.0,True,300.0,0.4,798.0,77.65875711087247,80.49043116177633,2.831674050903858,0.1896456310293729,2.4182922928068877,3.1815480491272448,2.8383507708409694,300.0,0.0,0.0,258.61936813509936,0.0,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr-en.fr.default.out.postproc,40.48295036531508,56.72152076712569,77.7892218966164,77.65091512509004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-2-9b-it,test.fr-en.fr.rocsmt.out.postproc,54.603874003020195,68.41169321033108,85.46056949453268,80.17268809443246,300.0,0.4,798.0,40.464400565423155,54.58658994201682,14.122189376593669,0.8879309028319275,12.386552671501125,15.80508783338063,14.123903160222117,300.0,0.0,0.0,275.47582178249377,0.0,0.0,1.0,0.0,True,300.0,0.4,798.0,77.76583621178503,85.45958982813875,7.693753616353723,0.42043100023963065,6.884041535282945,8.508500259341607,7.714231316009556,300.0,0.0,0.0,316.9597902354039,0.0,0.0,1.0,0.0,True,300.0,0.4,798.0,77.65875711087247,80.18626401638775,2.5275069055152914,0.1837323632616065,2.126093445285076,2.8822809166477996,2.5379384688118014,300.0,0.0,0.0,238.26887648532588,0.0,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr-en.fr.footweets.out.postproc,56.713210829593464,70.10337620546372,86.42202292779882,80.36085671198391,300.0,0.4,798.0,40.464400565423155,56.71556624185027,16.251165676427124,0.913428455926799,14.613262187510035,17.993636850759593,16.251108590529928,300.0,0.0,0.0,308.15598584818946,0.0,0.0,1.0,0.0,True,300.0,0.4,798.0,77.76583621178503,86.42516107986694,8.659324868081905,0.4466337801397694,7.772235950095609,9.452548669487758,8.668276471526998,300.0,0.0,0.0,335.8095893702652,0.0,0.0,1.0,0.0,True,300.0,0.4,798.0,77.65875711087247,80.37358928072823,2.7148321698557463,0.19664818219556332,2.266638433014543,3.0549084235514825,2.729889182817369,300.0,0.0,0.0,239.11877545536254,0.0,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr-en.fr.pfsmb.out.postproc,54.47147705163227,68.72686836855004,86.2232999073599,80.14209743193491,300.0,0.4,798.0,40.464400565423155,54.4708376028574,14.006437037434244,0.9017120961231992,12.333513782419233,15.67131801625442,14.026861469930989,300.0,0.0,0.0,269.0421996793978,0.0,0.0,1.0,0.0,True,300.0,0.4,798.0,77.76583621178503,86.2226965748452,8.456860363060171,0.4449356676365478,7.612401528988865,9.271835812967373,8.453508557980522,300.0,0.0,0.0,329.20965628902553,0.0,0.0,1.0,0.0,True,300.0,0.4,798.0,77.65875711087247,80.15293571849665,2.4941786076241765,0.19327485006052145,2.0701884426979507,2.8436423139763374,2.4929644339216073,300.0,0.0,0.0,223.51816960166872,0.0,0.0,1.0,0.0,True
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.mmtc.out.postproc,60.18290401279956,73.54023884372745,88.92786310825176,80.94051449833987,300.0,0.4,798.0,59.80324438526307,60.178688494820356,0.37544410955728086,0.41560604544545837,-0.37140269904008033,1.1509455625958305,0.39416220786675993,248.0,52.0,0.0,15.646747208854213,9.942851377337874e-41,0.3466666666666667,0.8266666666666667,0.17333333333333334,False,300.0,0.4,798.0,88.96146725740599,88.95882349793077,-0.002643759475216149,0.10186284237936434,-0.20461510652139359,0.1924626124009812,0.004705062187404518,160.0,140.0,0.0,-0.44953838191674633,0.6533690229884916,0.9333333333333333,0.5333333333333333,0.4666666666666667,False,300.0,0.4,798.0,81.06343609210394,80.95620822157079,-0.10722787053314199,0.10811550631242832,-0.3231967491725618,0.10167018652784128,-0.11125213669654355,49.0,251.0,0.0,-17.17830550727115,1.7207364547469044e-46,0.32666666666666666,0.16333333333333333,0.8366666666666667,False
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.default.out.postproc,59.779627768629275,73.36650632684429,88.93429067038105,81.04225177026703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.rocsmt.out.postproc,59.99617971237188,73.3880556009161,88.86002515534122,80.93183579330216,300.0,0.4,798.0,59.80324438526307,60.00970242773903,0.20645804247595972,0.4246908886655753,-0.5829999565371761,1.0208690272779426,0.21532758711657252,196.0,104.0,0.0,8.420143420622475,1.5886193904671718e-15,0.6933333333333334,0.6533333333333333,0.3466666666666667,False,300.0,0.4,798.0,88.96146725740599,88.89457241050532,-0.06689484690066246,0.10795094111833543,-0.2682574610587668,0.1472528701774186,-0.06660773864665126,79.0,221.0,0.0,-10.733141591556642,5.995615938780988e-23,0.5266666666666666,0.2633333333333333,0.7366666666666667,False,300.0,0.4,798.0,81.06343609210394,80.95214797405768,-0.11128811804622862,0.11177725086009657,-0.3511576432930866,0.09542719743454718,-0.11067311081073283,48.0,252.0,0.0,-17.244714219716347,9.672379173745443e-47,0.32,0.16,0.84,False
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.footweets.out.postproc,60.080349733033955,73.45043247190705,88.91102380916207,80.88108520648761,300.0,0.4,798.0,59.80324438526307,60.07328790665374,0.27004352139066945,0.4201713293270608,-0.5598273107627586,1.0484986660108102,0.2847238161262915,223.0,77.0,0.0,11.131866137857605,2.5963552146537616e-24,0.5133333333333333,0.7433333333333333,0.25666666666666665,False,300.0,0.4,798.0,88.96146725740599,88.94413956923842,-0.017327688167567173,0.10605784705197523,-0.24055997035781124,0.1931119781164913,-0.015952707009209144,136.0,164.0,0.0,-2.8298176059738753,0.004972711956492445,0.9066666666666666,0.4533333333333333,0.5466666666666666,False,300.0,0.4,798.0,81.06343609210394,80.90203209868699,-0.16140399341694822,0.11421445734376558,-0.4049920494245748,0.05669322975894839,-0.16509090599260423,28.0,272.0,0.0,-24.476753963050438,2.192329318036456e-73,0.18666666666666668,0.09333333333333334,0.9066666666666666,False
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.pfsmb.out.postproc,59.844631116064306,73.27683279522137,88.84972878741118,80.91824524298698,300.0,0.4,798.0,59.80324438526307,59.8154497824529,0.01220539718982766,0.43175949532743496,-0.8282027757563917,0.8027924975929618,0.03330170298790591,158.0,142.0,0.0,0.4896329620569806,0.6247526750946066,0.9466666666666667,0.5266666666666666,0.47333333333333333,False,300.0,0.4,798.0,88.96146725740599,88.87883373232266,-0.08263352508333743,0.11021836901518982,-0.29354830564263273,0.1341131630173927,-0.07821467511337499,69.0,231.0,0.0,-12.98562709026594,7.008571581796918e-31,0.46,0.23,0.77,False,300.0,0.4,798.0,81.06343609210394,80.93760807590627,-0.12582801619767187,0.10963593273762315,-0.35335771048577186,0.07774630827563084,-0.13045457222108925,42.0,258.0,0.0,-19.87856641777609,1.258571672724015e-56,0.28,0.14,0.86,False
